날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-10-04 12,부산 중구,광복동,221112,.004,.4,.045,.009,31,20
2020-10-04 13,부산 중구,광복동,221112,.004,.5,.036,.017,28,
2020-10-04 14,부산 중구,광복동,221112,.004,.4,.063,.01,27,26
2020-10-04 15,부산 중구,광복동,221112,.004,.5,.065,.011,28,21
2020-10-04 16,부산 중구,광복동,221112,.004,.4,.068,.012,30,9
2020-10-04 17,부산 중구,광복동,221112,.004,.5,.073,.008,31,12
2020-10-04 18,부산 중구,광복동,221112,.004,.5,.059,.01,21,12
2020-10-04 19,부산 중구,광복동,221112,.003,.4,.047,.006,24,16
2020-10-04 20,부산 중구,광복동,221112,.002,.4,.043,.004,23,11
2020-10-04 21,부산 중구,광복동,221112,.002,.4,.043,.005,20,9
2020-10-04 22,부산 중구,광복동,221112,.002,.4,.041,.005,19,8
2020-10-04 23,부산 중구,광복동,221112,.002,.4,.041,.005,22,18
2020-10-04 24,부산 중구,광복동,221112,.002,.4,.046,.004,18,9
2020-10-05 01,부산 중구,광복동,221112,.002,.4,.046,.004,27,11
2020-10-05 02,부산 중구,광복동,221112,.002,.4,.043,.004,28,18
2020-10-05 03,부산 중구,광복동,221112,.002,.4,.041,.004,35,18
2020-10-05 04,부산 중구,광복동,221112,.002,.3,.036,.003,34,16
2020-10-05 05,부산 중구,광복동,221112,.002,.3,.033,.004,28,13
2020-10-05 06,부산 중구,광복동,221112,.002,.3,.031,.005,23,6
2020-10-05 07,부산 중구,광복동,221112,.002,.3,.028,.007,45,2
2020-10-05 08,부산 중구,광복동,221112,.002,.3,.026,.008,33,5
2020-10-05 09,부산 중구,광복동,221112,.002,.3,.024,.008,41,7
2020-10-05 10,부산 중구,광복동,221112,.002,.3,.026,.008,33,8
2020-10-05 11,부산 중구,광복동,221112,.002,.3,.029,.006,31,7
2020-10-05 12,부산 중구,광복동,221112,.002,.3,.03,.006,38,3
2020-10-05 13,부산 중구,광복동,221112,,,,,30,5
2020-10-05 14,부산 중구,광복동,221112,,,,,26,10
2020-10-05 15,부산 중구,광복동,221112,,,,,30,11
2020-10-05 16,부산 중구,광복동,221112,.003,.3,.041,.007,28,7
2020-10-05 17,부산 중구,광복동,221112,.003,.4,.04,.007,33,6
2020-10-05 18,부산 중구,광복동,221112,.003,.4,.038,.009,34,6
2020-10-05 19,부산 중구,광복동,221112,.003,.4,.037,.008,28,4
2020-10-05 20,부산 중구,광복동,221112,.003,.4,.035,.008,23,9
2020-10-05 21,부산 중구,광복동,221112,.002,.4,.034,.008,27,9
2020-10-05 22,부산 중구,광복동,221112,.002,.4,.032,.009,28,7
2020-10-05 23,부산 중구,광복동,221112,.002,.4,.029,.011,26,11
2020-10-05 24,부산 중구,광복동,221112,.002,.4,.029,.009,29,12
2020-10-06 01,부산 중구,광복동,221112,.002,.4,.028,.008,28,10
2020-10-06 02,부산 중구,광복동,221112,.003,.4,.029,.007,24,9
2020-10-06 03,부산 중구,광복동,221112,.003,.4,.027,.008,28,7
2020-10-06 04,부산 중구,광복동,221112,.003,.4,.025,.008,26,7
2020-10-06 05,부산 중구,광복동,221112,.003,.4,.025,.008,27,10
2020-10-06 06,부산 중구,광복동,221112,.002,.4,.022,.009,26,10
2020-10-06 07,부산 중구,광복동,221112,.002,.4,.017,.013,26,9
2020-10-06 08,부산 중구,광복동,221112,.003,.4,.017,.013,22,7
2020-10-06 09,부산 중구,광복동,221112,.003,.4,.016,.014,24,6
2020-10-06 10,부산 중구,광복동,221112,.003,.4,.023,.012,29,11
2020-10-06 11,부산 중구,광복동,221112,.003,.4,.028,.011,29,12
2020-10-06 12,부산 중구,광복동,221112,.003,.4,.03,.012,27,9
2020-10-06 13,부산 중구,광복동,221112,.004,.4,.038,.012,35,10
2020-10-06 14,부산 중구,광복동,221112,.004,.4,.043,.01,28,13
2020-10-06 15,부산 중구,광복동,221112,.004,.4,.043,.011,30,11
2020-10-06 16,부산 중구,광복동,221112,.003,.4,.04,.011,32,10
2020-10-06 17,부산 중구,광복동,221112,.003,.4,.037,.012,28,12
2020-10-06 18,부산 중구,광복동,221112,.003,.4,.033,.014,29,13
2020-10-06 19,부산 중구,광복동,221112,.003,.4,.03,.015,27,12
2020-10-06 20,부산 중구,광복동,221112,.003,.4,.029,.015,31,11
2020-10-06 21,부산 중구,광복동,221112,.003,.4,.031,.012,28,11
2020-10-06 22,부산 중구,광복동,221112,.003,.4,.031,.011,24,13
2020-10-06 23,부산 중구,광복동,221112,.004,.4,.027,.012,28,8
2020-10-06 24,부산 중구,광복동,221112,.004,.4,.027,.011,25,6
2020-10-07 01,부산 중구,광복동,221112,.004,.4,.029,.008,21,9
2020-10-07 02,부산 중구,광복동,221112,.003,.4,.03,.006,20,10
2020-10-07 03,부산 중구,광복동,221112,.003,.3,.032,.005,21,11
2020-10-07 04,부산 중구,광복동,221112,.003,.3,.032,.004,18,6
2020-10-07 05,부산 중구,광복동,221112,.003,.3,.031,.005,15,3
2020-10-07 06,부산 중구,광복동,221112,.003,.4,.029,.006,18,4
2020-10-07 07,부산 중구,광복동,221112,.003,.4,.027,.007,19,7
2020-10-07 08,부산 중구,광복동,221112,.003,.4,.026,.008,17,12
2020-10-07 09,부산 중구,광복동,221112,.003,.4,.024,.011,26,11
2020-10-07 10,부산 중구,광복동,221112,.003,.4,.025,.012,21,9
2020-10-07 11,부산 중구,광복동,221112,.005,.4,.029,.011,27,12
2020-10-07 12,부산 중구,광복동,221112,.004,.4,.033,.011,27,13
2020-10-07 13,부산 중구,광복동,221112,.003,.3,.035,.008,30,10
2020-10-07 14,부산 중구,광복동,221112,.004,.3,.036,.009,31,5
2020-10-07 15,부산 중구,광복동,221112,.003,.4,.035,.01,31,4
2020-10-07 16,부산 중구,광복동,221112,.003,.3,.033,.01,35,4
2020-10-07 17,부산 중구,광복동,221112,.003,.4,.029,.013,35,4
2020-10-07 18,부산 중구,광복동,221112,.004,.4,.03,.012,30,3
2020-10-07 19,부산 중구,광복동,221112,.003,.4,.03,.01,29,3
2020-10-07 20,부산 중구,광복동,221112,.002,.3,.03,.009,24,4
2020-10-07 21,부산 중구,광복동,221112,.002,.3,.03,.008,25,3
2020-10-07 22,부산 중구,광복동,221112,.002,.3,.029,.008,26,5
2020-10-07 23,부산 중구,광복동,221112,.003,.3,.03,.007,36,9
2020-10-07 24,부산 중구,광복동,221112,.002,.3,.033,.005,24,8
2020-10-08 01,부산 중구,광복동,221112,.002,.3,.033,.004,23,9
2020-10-08 02,부산 중구,광복동,221112,.002,.3,.033,.004,20,8
2020-10-08 03,부산 중구,광복동,221112,.002,.3,.033,.004,26,4
2020-10-08 04,부산 중구,광복동,221112,.002,.3,.034,.004,21,3
2020-10-08 05,부산 중구,광복동,221112,.002,.3,.033,.004,24,5
2020-10-08 06,부산 중구,광복동,221112,.003,.3,.032,.005,18,3
2020-10-08 07,부산 중구,광복동,221112,.003,.3,.029,.008,25,2
2020-10-08 08,부산 중구,광복동,221112,.003,.3,.028,.01,26,6
2020-10-08 09,부산 중구,광복동,221112,.003,.3,.027,.011,30,9
2020-10-08 10,부산 중구,광복동,221112,.003,.3,.03,.01,46,7
2020-10-08 11,부산 중구,광복동,221112,.003,.3,.032,.009,47,8
2020-10-08 12,부산 중구,광복동,221112,.002,.3,.035,.008,62,9
2020-10-08 13,부산 중구,광복동,221112,.002,.3,.037,.007,62,7
2020-10-08 14,부산 중구,광복동,221112,.003,.3,.037,.007,45,5
2020-10-08 15,부산 중구,광복동,221112,.003,.3,.034,.01,47,6
2020-10-08 16,부산 중구,광복동,221112,.003,.3,.037,.008,58,8
2020-10-08 17,부산 중구,광복동,221112,.003,.3,.036,.009,54,4
2020-10-08 18,부산 중구,광복동,221112,.003,.3,.034,.01,43,2
2020-10-08 19,부산 중구,광복동,221112,.003,.3,.035,.01,34,4
2020-10-08 20,부산 중구,광복동,221112,.004,.3,.036,.009,31,6
2020-10-08 21,부산 중구,광복동,221112,.003,.3,.036,.008,25,5
2020-10-08 22,부산 중구,광복동,221112,.003,.3,.037,.008,26,5
2020-10-08 23,부산 중구,광복동,221112,.003,.3,.039,.006,21,7
2020-10-08 24,부산 중구,광복동,221112,.003,.3,.041,.006,26,10
2020-10-09 01,부산 중구,광복동,221112,.003,.3,.042,.004,28,9
2020-10-09 02,부산 중구,광복동,221112,.003,.3,.042,.004,30,9
2020-10-09 03,부산 중구,광복동,221112,.003,.3,.041,.004,30,7
2020-10-09 04,부산 중구,광복동,221112,.003,.3,.041,.004,28,4
