,blueWins,blueTowerKills,blueFirstInhibitor,blueInhibitorKills,blueObjectDamageDealt,blueDeath,blueKills,blueDragonKills
1466,0,3,0,0,23772,25,18,0
1467,1,8,1,1,75535,13,37,3
1468,1,3,0,0,26858,6,22,1
1469,0,0,0,0,7093,22,9,0
1470,1,4,1,1,10266,44,42,0
1471,1,5,0,0,53017,15,34,2
1472,0,5,0,0,51666,37,21,2
1473,1,8,1,1,107566,36,40,2
1474,0,3,0,0,31350,35,22,0
1475,0,1,0,0,14897,25,19,1
1476,0,1,0,0,16502,30,14,0
1477,0,4,0,0,34632,31,21,0
1478,0,5,0,0,45523,38,31,1
1479,1,5,1,1,38092,10,35,2
1480,1,4,1,2,8739,37,46,0
1481,0,1,0,0,16618,19,5,0
1482,0,1,0,0,26634,39,26,1
1483,1,5,0,0,43806,19,27,1
1484,0,0,0,0,6719,29,9,0
1485,1,10,1,1,51702,12,30,2
1486,1,3,0,0,30772,11,34,2
1487,1,5,0,0,63253,19,29,1
1488,1,6,1,1,46342,18,23,1
1489,1,1,0,0,41948,12,20,2
1490,1,8,1,2,47274,11,40,1
1491,1,4,0,1,9727,40,56,0
1492,1,7,1,1,65645,24,22,1
1493,1,9,1,2,83254,26,46,2
1494,0,4,0,0,38487,25,21,1
1495,0,2,0,0,21068,28,12,0
1496,0,3,0,0,32210,42,25,0
1497,0,1,0,0,3338,55,56,0
1498,0,4,0,0,36244,29,27,1
1499,0,2,0,1,5598,59,46,0
1500,1,3,0,0,62434,11,24,3
1501,1,4,0,0,53603,22,39,2
1502,1,4,1,2,9129,36,48,0
1503,0,2,0,0,27545,22,19,2
1504,1,8,1,1,61952,12,19,2
1505,0,1,0,0,33973,30,27,0
1506,0,0,0,0,11829,30,14,1
1507,0,0,0,0,318,44,21,0
1508,1,8,1,1,65262,29,30,0
1509,0,1,0,0,6583,24,8,0
1510,1,4,1,1,10155,32,47,0
1511,0,0,0,0,1264,13,6,0
1512,1,1,0,0,23294,3,14,0
1513,0,1,0,0,13407,23,14,1
1514,1,4,0,0,73434,22,34,3
1515,0,5,0,0,58895,41,37,1
1516,1,7,1,1,78691,20,31,2
1517,0,0,0,0,10537,28,16,0
1518,1,3,0,0,15167,4,18,1
1519,0,2,0,0,16408,33,20,0
1520,0,8,1,1,89243,34,28,1
1521,1,4,1,1,10198,26,49,0
1522,1,4,1,3,10010,58,63,0
1523,0,1,0,0,3235,48,43,0
1524,0,1,0,0,2238,40,26,0
1525,1,3,0,0,25479,11,26,2
1526,0,2,0,0,32147,36,18,0
1527,1,3,0,0,15101,8,23,0
1528,1,4,0,1,9350,49,49,0
1529,0,4,0,0,26561,34,22,0
1530,1,11,1,3,71881,15,16,1
1531,0,2,0,0,22911,28,14,2
1532,1,8,1,1,88306,21,26,2
1533,1,3,0,0,29757,5,24,2
1534,0,0,0,0,9456,33,17,1
1535,0,5,0,0,58811,40,34,0
1536,1,8,1,1,59323,12,31,2
1537,1,8,1,1,59049,22,24,1
1538,1,5,0,0,54170,17,34,2
1539,1,4,1,2,7582,30,39,0
1540,1,4,0,0,19227,4,21,0
1541,0,0,0,0,3042,26,9,0
1542,0,6,1,1,59880,38,32,2
1543,0,5,0,0,50713,36,29,2
1544,1,5,0,0,26757,8,29,0
1545,1,7,1,1,44924,4,17,2
1546,1,9,1,2,34094,5,16,0
1547,0,0,0,0,8421,49,15,1
1548,0,3,0,0,25852,40,28,1
1549,1,8,1,1,57904,18,31,3
1550,0,0,0,0,5971,19,11,0
1551,0,3,0,0,22240,41,23,2
1552,1,3,0,0,25444,9,26,1
1553,0,3,0,0,52597,34,23,3
1554,1,2,0,0,18117,2,15,1
1555,1,8,1,1,33960,10,32,1
1556,0,3,0,0,32592,29,15,0
1557,1,9,0,2,84204,30,34,3
1558,1,2,0,0,28134,7,19,2
1559,0,2,0,0,31078,31,18,1
1560,1,9,1,1,41213,18,35,1
1561,1,8,0,1,70800,42,38,2
1562,0,5,0,0,42079,59,34,0
1563,1,4,1,2,8223,30,46,0
1564,0,3,0,0,34720,43,20,1
